payment_id,order_id,payment_date,payment_method,amount
142,523,2024-02-25,Credit Card,1219.33
143,1551,2024-10-01,PayPal,598.12
144,3698,2024-12-23,Bank Transfer,385.94
145,3201,2024-07-14,Credit Card,1191.83
146,4634,2024-08-24,Bank Transfer,796.45
147,2509,2024-06-11,Credit Card,1333.85
148,1897,2024-10-06,Bank Transfer,1410.73
149,1179,2024-05-02,Credit Card,466.45
150,3891,2024-08-22,Bank Transfer,703.11
151,617,2024-02-24,PayPal,655.14
152,4975,2024-07-11,Credit Card,1210.98
153,194,2024-04-10,Bank Transfer,398.67
154,2992,2024-11-25,PayPal,294.11
155,3083,2024-06-13,Bank Transfer,498.23
156,2786,2024-03-02,Credit Card,1161.11
157,735,2024-04-07,Credit Card,778.23
158,3939,2024-05-12,Credit Card,455.95
159,4258,2024-02-26,Credit Card,900.4
160,2622,2024-08-25,Credit Card,1897.11
161,2421,2025-01-08,Bank Transfer,1346.29
162,1459,2024-09-17,Bank Transfer,613.9
163,3189,2024-10-16,PayPal,1051.85
164,4710,2024-09-25,Bank Transfer,359.11
165,4566,2024-12-26,PayPal,1104.73
166,2714,2024-10-27,Bank Transfer,381.19
167,602,2024-07-09,Credit Card,1366.59
168,917,2024-05-27,Bank Transfer,1404.75
169,2984,2024-07-10,Bank Transfer,634.0
170,2525,2024-12-16,Bank Transfer,1701.45
171,4025,2024-10-02,Bank Transfer,299.58
172,3659,2024-10-14,PayPal,132.75
173,859,2024-04-13,Bank Transfer,1650.79
174,4501,2024-05-22,PayPal,47.57
175,1547,2025-02-04,Bank Transfer,286.64
176,842,2024-05-05,Bank Transfer,1310.4
177,3738,2024-06-03,PayPal,1238.38
178,448,2024-12-05,Credit Card,701.9
179,2058,2025-01-13,Bank Transfer,1795.83
180,4891,2024-05-09,Bank Transfer,497.38
181,610,2024-06-27,Credit Card,1923.1
182,1711,2024-05-16,Credit Card,32.35
183,2248,2024-09-01,Credit Card,1451.75
184,1881,2024-07-15,Bank Transfer,983.83
185,4164,2024-09-27,Credit Card,128.48
186,1231,2024-06-16,Bank Transfer,918.69
187,4878,2024-04-17,PayPal,1638.74
188,3671,2024-03-23,PayPal,1987.24
189,938,2024-04-21,Credit Card,874.01
190,3796,2024-12-23,Credit Card,1294.31
191,4046,2024-03-19,Bank Transfer,864.17
192,1734,2024-11-01,Credit Card,1409.86
193,1481,2024-06-26,Credit Card,710.92
194,3826,2024-07-09,PayPal,870.25
195,4363,2024-02-21,Bank Transfer,1230.09
196,968,2024-12-24,Credit Card,988.42
197,3424,2024-05-10,Credit Card,215.33
198,1704,2024-08-22,Credit Card,619.73
199,4728,2024-08-02,Bank Transfer,708.29
200,1451,2024-03-04,Bank Transfer,1252.68
201,3011,2024-02-10,PayPal,1874.74
202,3259,2024-08-29,Credit Card,146.58
203,1402,2024-09-08,Bank Transfer,1871.32
204,2672,2024-02-26,Bank Transfer,85.1
205,4644,2024-04-30,PayPal,1752.12
206,616,2024-06-16,PayPal,1006.95
207,1705,2025-01-11,PayPal,866.64
208,1606,2024-06-08,PayPal,1526.47
209,1437,2024-07-20,PayPal,1923.41
210,2393,2024-10-07,Bank Transfer,720.71
211,3510,2024-05-31,PayPal,1990.38
212,3580,2024-07-06,PayPal,1175.44
213,2649,2024-07-23,Bank Transfer,1003.39
214,37,2024-02-09,PayPal,252.87
215,3333,2025-01-25,PayPal,1883.3
216,429,2024-06-04,PayPal,938.64
217,4761,2024-09-24,PayPal,1848.29
218,2762,2024-12-16,Credit Card,216.88
219,4800,2024-03-02,Bank Transfer,30.39
220,1126,2024-05-01,PayPal,837.4
221,3739,2024-08-12,Credit Card,634.61
222,1358,2024-07-14,PayPal,539.43
223,4093,2024-05-19,Bank Transfer,727.08
224,4469,2024-07-29,Credit Card,1574.61
225,2453,2024-05-26,Bank Transfer,806.91
226,56,2024-08-05,Bank Transfer,1904.92
227,3193,2024-07-25,Credit Card,1024.29
228,1504,2024-11-20,Bank Transfer,755.14
229,2423,2025-01-28,Credit Card,846.71
230,3807,2024-09-22,PayPal,20.12
231,1334,2024-03-27,Credit Card,1286.01
232,1294,2024-10-21,Credit Card,682.57
233,901,2024-11-23,Credit Card,1536.59
234,1837,2025-01-16,Bank Transfer,44.76
235,4759,2024-03-11,Bank Transfer,1448.34
236,2175,2024-07-23,Bank Transfer,1643.82
237,1102,2024-03-11,PayPal,768.51
238,2656,2024-04-21,Bank Transfer,209.93
239,2406,2024-04-17,Bank Transfer,938.79
240,4835,2024-03-24,PayPal,1267.49
241,2582,2024-12-20,Bank Transfer,213.14
242,4894,2024-06-19,PayPal,566.08
243,4591,2024-02-26,Bank Transfer,495.99
244,4475,2024-11-28,PayPal,462.74
245,1860,2024-05-11,PayPal,1010.44
246,2403,2024-11-17,Bank Transfer,1226.03
247,4940,2024-09-19,Bank Transfer,1235.98
248,546,2024-12-21,PayPal,1188.97
249,1826,2024-10-30,PayPal,1846.05
250,4916,2024-07-15,Bank Transfer,692.7
251,1094,2024-11-06,Bank Transfer,1436.68
252,2636,2024-06-09,Credit Card,276.9
253,58,2024-06-24,Bank Transfer,1392.15
254,539,2024-09-10,Bank Transfer,197.83
255,2474,2024-12-11,Bank Transfer,925.87
256,519,2024-07-16,Credit Card,177.53
257,4975,2024-11-10,PayPal,492.86
258,3471,2024-08-22,Credit Card,1137.77
259,4999,2024-11-11,Bank Transfer,210.67
260,441,2025-02-02,PayPal,1345.51
261,2309,2024-11-07,Bank Transfer,1990.68
262,2640,2024-03-07,Bank Transfer,1508.8
263,836,2024-10-13,Bank Transfer,1315.73
264,2206,2024-09-14,Credit Card,75.44
265,2967,2025-01-24,Bank Transfer,991.69
266,4259,2024-10-14,Credit Card,538.22
267,2383,2024-02-26,PayPal,1208.85
268,2233,2024-02-25,Credit Card,196.24
269,2456,2024-12-10,Credit Card,53.06
270,4170,2024-12-26,PayPal,1631.02
271,4209,2024-06-05,Credit Card,1099.78
272,3335,2024-03-27,PayPal,557.44
273,296,2024-06-09,PayPal,1103.44
274,1426,2024-08-29,PayPal,671.32
275,3058,2024-09-29,PayPal,256.47
276,990,2024-05-05,Bank Transfer,115.35
277,1680,2024-05-02,PayPal,751.95
278,3668,2024-05-03,PayPal,1963.14
279,3628,2024-07-02,Bank Transfer,1990.71
280,243,2024-03-30,Bank Transfer,815.81
281,3472,2025-01-02,Bank Transfer,565.68
282,1731,2024-09-07,PayPal,1636.22
283,1408,2024-07-19,Bank Transfer,539.86
284,4560,2024-11-12,Credit Card,772.16
285,4923,2024-11-12,PayPal,1956.97
286,2950,2024-10-22,Bank Transfer,1662.95
287,4409,2024-07-13,Credit Card,979.07
288,505,2024-02-09,Bank Transfer,830.27
289,1077,2024-03-18,Credit Card,843.4
290,905,2024-12-21,PayPal,789.55
291,2063,2024-05-05,Bank Transfer,76.67
292,171,2024-08-27,Bank Transfer,1297.11
293,4075,2024-06-09,PayPal,266.35
294,89,2024-06-10,Credit Card,1429.05
295,2901,2024-11-25,Credit Card,1322.88
296,223,2024-02-09,Bank Transfer,1530.35
297,2121,2024-12-02,PayPal,1985.53
298,3144,2025-01-09,Bank Transfer,237.16
299,3845,2024-02-19,Credit Card,1413.72
300,4923,2024-04-13,PayPal,1764.01
301,4608,2024-09-23,PayPal,1856.04
302,3467,2024-06-19,Credit Card,424.94
303,2938,2024-12-10,Bank Transfer,1735.84
304,2201,2025-01-05,Bank Transfer,1391.56
305,1989,2024-08-14,Bank Transfer,1090.41
306,3880,2024-04-23,Bank Transfer,1066.91
307,23,2024-12-11,Credit Card,1131.1
308,726,2024-08-28,Bank Transfer,1571.25
309,717,2024-02-13,Credit Card,1447.3
310,1915,2024-03-21,PayPal,1228.01
311,1310,2025-01-14,Credit Card,420.03
312,2179,2025-01-17,Credit Card,349.52
313,668,2024-02-21,Bank Transfer,1812.37
314,103,2024-03-06,Bank Transfer,941.32
315,806,2024-04-20,Credit Card,989.55
316,3975,2025-01-06,Bank Transfer,844.19
317,2013,2024-06-02,Bank Transfer,1029.58
318,336,2024-12-19,Bank Transfer,1454.82
319,1573,2024-06-25,Bank Transfer,1896.07
320,1415,2025-01-06,Bank Transfer,120.01
321,4158,2024-08-07,Credit Card,378.48
322,444,2024-03-16,PayPal,578.21
323,2407,2024-09-06,Bank Transfer,1631.96
324,1960,2024-03-15,PayPal,242.19
325,4021,2025-01-27,Bank Transfer,1557.09
326,4603,2024-07-03,Credit Card,842.46
327,2093,2024-09-13,Bank Transfer,719.45
328,913,2024-03-01,Credit Card,1606.41
329,1157,2024-07-07,Bank Transfer,1743.33
330,4844,2024-11-25,Credit Card,49.42
331,1527,2025-01-29,Bank Transfer,603.42
332,1091,2024-10-20,PayPal,1534.43
333,4085,2024-12-18,Credit Card,1418.87
334,4417,2024-03-15,Bank Transfer,1661.76
335,1829,2024-09-28,Bank Transfer,1574.82
336,1955,2024-06-02,PayPal,994.55
337,2260,2024-10-01,Credit Card,529.74
338,1837,2024-09-16,Credit Card,1682.46
339,3875,2024-12-04,Bank Transfer,357.72
340,745,2024-09-20,PayPal,462.0
341,2015,2024-03-25,PayPal,1050.7
342,1906,2024-04-22,PayPal,1011.65
343,1330,2025-01-28,Credit Card,181.76
344,2742,2024-07-13,Credit Card,1234.13
345,3986,2024-10-08,Bank Transfer,848.54
346,3015,2024-12-09,PayPal,820.01
347,667,2024-11-16,Credit Card,783.04
348,3701,2024-07-03,Credit Card,1275.07
349,3417,2024-02-23,Credit Card,106.24
350,1122,2025-01-14,Credit Card,1650.42
351,2195,2024-06-26,Credit Card,924.98
352,3093,2024-06-18,PayPal,583.27
353,2768,2024-03-26,Bank Transfer,1638.01
354,3186,2024-09-19,Credit Card,1659.7
355,1048,2024-03-16,Credit Card,1517.58
356,2009,2024-10-26,Bank Transfer,678.74
357,823,2024-12-20,Credit Card,494.85
358,2100,2024-11-22,Bank Transfer,766.41
359,4752,2024-12-19,PayPal,73.58
360,1087,2024-09-26,Bank Transfer,183.59
361,4315,2024-05-05,PayPal,1027.29
362,4797,2024-12-28,Bank Transfer,528.02
363,2225,2025-02-03,Bank Transfer,1824.67
364,4784,2024-09-19,PayPal,1475.87
365,3598,2024-07-17,Credit Card,716.57
366,3820,2024-09-02,Credit Card,1324.25
367,452,2024-07-28,PayPal,989.2
368,2512,2024-03-11,Credit Card,1364.2
369,3669,2024-08-21,PayPal,835.61
370,4662,2024-07-26,PayPal,1181.86
371,2154,2024-12-13,PayPal,664.61
372,2323,2024-10-22,PayPal,532.02
373,3446,2024-08-18,Bank Transfer,1605.91
374,3974,2024-03-09,PayPal,1043.29
375,2396,2024-08-14,Bank Transfer,650.04
376,2598,2024-02-12,Credit Card,1412.56
377,4192,2024-09-04,Bank Transfer,1077.6
378,3227,2024-02-13,PayPal,770.24
379,141,2024-10-15,Bank Transfer,1228.55
380,204,2024-06-08,PayPal,491.7
381,674,2024-10-03,PayPal,1858.3
382,2407,2024-04-06,Credit Card,171.35
383,4883,2024-09-28,Credit Card,463.14
384,3579,2025-01-04,Bank Transfer,1226.54
385,4090,2024-04-28,PayPal,536.05
386,1793,2024-11-09,Bank Transfer,445.02
387,3973,2024-04-12,PayPal,1793.01
388,1086,2024-11-26,Bank Transfer,1558.85
389,3616,2024-12-29,Bank Transfer,261.52
390,2966,2025-01-03,PayPal,1674.98
391,1338,2024-09-12,PayPal,248.86
392,2600,2025-01-26,Credit Card,1438.82
393,4318,2024-11-12,Bank Transfer,436.92
394,803,2024-12-08,Credit Card,590.18
395,1126,2025-01-03,Credit Card,474.57
396,3730,2025-02-06,Credit Card,106.26
397,2438,2024-06-30,Credit Card,1206.41
398,2831,2024-02-15,Credit Card,1649.74
399,404,2024-08-17,Bank Transfer,122.88
400,3520,2025-01-30,Credit Card,339.17
401,4881,2025-01-28,Bank Transfer,1122.95
402,4551,2024-11-07,PayPal,1877.25
403,1719,2024-03-19,Credit Card,1912.96
404,1305,2024-09-29,Credit Card,1984.62
405,4350,2024-07-22,PayPal,1833.81
406,1550,2024-03-12,Bank Transfer,930.88
407,2920,2024-04-08,Bank Transfer,1859.12
408,1469,2024-09-25,PayPal,1889.49
409,1304,2024-05-04,Credit Card,1064.35
410,2304,2024-04-29,PayPal,1760.46
411,500,2024-12-20,Bank Transfer,1056.17
412,4157,2024-04-03,Bank Transfer,1417.54
413,4739,2024-03-08,Bank Transfer,1947.01
414,765,2024-12-01,Bank Transfer,262.48
415,817,2024-04-24,Bank Transfer,1248.3
416,1486,2024-05-27,Bank Transfer,257.81
417,4590,2024-09-19,Credit Card,584.91
418,17,2024-06-25,PayPal,525.31
419,1643,2024-04-12,Bank Transfer,1838.11
420,2615,2024-04-01,PayPal,392.39
421,2529,2024-02-25,Credit Card,391.42
422,4619,2024-09-14,Bank Transfer,918.41
423,810,2025-01-12,Bank Transfer,900.73
424,104,2025-02-08,PayPal,119.96
425,4630,2025-01-07,Bank Transfer,1888.02
426,1518,2024-12-04,PayPal,313.67
427,1606,2024-12-18,Bank Transfer,1942.87
428,262,2024-05-21,Credit Card,1233.56
429,664,2024-02-25,Bank Transfer,1486.12
430,3765,2024-10-24,Credit Card,240.95
431,1579,2024-02-29,Credit Card,284.88
432,1863,2024-12-26,Credit Card,1322.17
433,4080,2024-05-01,Credit Card,625.45
434,3934,2024-08-12,Bank Transfer,493.45
435,4693,2025-01-12,Bank Transfer,76.24
436,3981,2024-10-28,Credit Card,1793.28
437,685,2024-03-08,Credit Card,744.29
438,4422,2025-02-06,Bank Transfer,874.72
439,4917,2025-02-03,Credit Card,118.7
440,2485,2024-08-09,Credit Card,1146.43
441,4122,2024-08-19,Bank Transfer,374.74
442,1334,2024-06-29,PayPal,595.94
443,2949,2024-08-29,Credit Card,1999.16
444,3610,2024-09-11,PayPal,1149.67
445,632,2024-06-23,PayPal,303.82
446,4428,2024-07-07,Credit Card,188.81
447,4633,2024-04-09,PayPal,996.15
448,4721,2024-11-13,PayPal,231.35
449,3324,2024-08-01,PayPal,1711.85
450,462,2024-05-17,Credit Card,1760.87
451,396,2024-09-06,Credit Card,757.42
452,2432,2024-02-11,Credit Card,1507.83
453,3824,2024-07-08,PayPal,791.91
454,960,2024-07-13,Bank Transfer,1733.28
455,1821,2024-03-21,Credit Card,790.15
456,2782,2024-03-06,PayPal,748.43
457,201,2024-11-03,Credit Card,58.31
458,3162,2025-01-30,PayPal,1505.79
459,2858,2025-01-22,PayPal,1724.66
460,1960,2024-04-19,Bank Transfer,1561.88
461,3890,2025-01-25,Bank Transfer,488.81
462,2213,2024-07-18,PayPal,1943.63
463,747,2024-12-11,Bank Transfer,1392.47
464,2208,2024-11-22,PayPal,1015.78
465,3182,2024-03-30,Credit Card,1724.76
466,1445,2024-11-14,Credit Card,364.59
467,638,2024-02-21,Bank Transfer,334.69
468,3335,2024-10-18,Credit Card,1965.01
469,3888,2024-05-08,Credit Card,673.8
470,928,2025-01-30,Credit Card,295.91
471,4271,2024-03-03,Credit Card,1492.99
472,1685,2024-07-08,Bank Transfer,191.14
473,1264,2024-09-25,PayPal,322.71
474,3610,2024-12-27,Credit Card,738.6
475,3143,2024-07-01,PayPal,1353.33
476,4563,2024-03-08,Bank Transfer,1866.71
477,2871,2024-07-24,Credit Card,1730.27
478,1249,2024-06-11,Bank Transfer,336.26
479,2305,2024-08-17,PayPal,686.6
480,2283,2024-10-27,PayPal,764.6
481,630,2024-03-16,PayPal,1211.78
482,2433,2024-04-14,PayPal,720.72
483,4876,2024-03-22,Credit Card,428.48
484,2772,2024-03-25,Credit Card,722.9
485,2312,2024-09-11,Credit Card,1669.36
486,1672,2024-07-25,PayPal,335.23
487,2095,2024-02-27,PayPal,859.8
488,3146,2024-12-27,Bank Transfer,1693.13
489,1372,2024-10-15,PayPal,1824.79
490,3948,2024-03-04,PayPal,166.27
491,2492,2024-09-06,Bank Transfer,891.63
492,98,2024-03-11,PayPal,1613.4
493,2748,2025-01-23,Credit Card,1517.13
494,2411,2024-03-27,Bank Transfer,1518.49
495,355,2024-10-25,PayPal,1202.8
496,3497,2024-11-18,PayPal,1940.78
497,1207,2024-03-31,PayPal,592.17
498,3686,2025-01-09,Bank Transfer,124.15
499,2227,2024-10-25,Credit Card,974.93
500,3262,2024-11-10,Credit Card,1395.32
501,1549,2024-10-16,PayPal,1703.94
502,4191,2024-12-07,Bank Transfer,981.92
503,1820,2024-05-08,Credit Card,234.88
504,381,2025-01-13,Credit Card,709.0
505,2812,2024-10-29,Credit Card,1778.21
506,4638,2024-10-04,Bank Transfer,753.63
507,754,2025-01-01,Credit Card,1549.03
508,2605,2024-10-02,PayPal,1627.31
509,2090,2025-02-02,Credit Card,204.91
510,188,2024-05-05,Bank Transfer,1487.83
511,1751,2024-04-24,Bank Transfer,941.32
512,499,2024-03-03,Bank Transfer,1058.86
513,4490,2024-04-19,Credit Card,1071.82
514,4193,2024-06-14,Credit Card,690.04
515,3025,2024-06-26,PayPal,1972.35
516,1839,2024-09-22,PayPal,536.5
517,2154,2025-01-13,Bank Transfer,1132.44
518,3057,2024-11-24,Bank Transfer,908.92
519,4630,2024-08-24,Bank Transfer,976.57
520,1090,2024-12-03,PayPal,1472.63
521,1328,2024-08-19,Bank Transfer,1170.2
522,474,2024-09-21,Bank Transfer,1541.94
523,2485,2024-11-14,Credit Card,781.49
524,1373,2025-01-29,PayPal,666.7
525,4220,2024-04-01,PayPal,1178.68
526,4053,2024-03-03,Bank Transfer,1065.44
527,506,2024-07-24,Bank Transfer,1781.86
528,3712,2024-12-11,Bank Transfer,1726.46
529,3532,2024-04-07,PayPal,1854.29
530,2601,2024-05-04,Credit Card,132.32
531,4191,2024-03-24,Credit Card,680.43
532,47,2024-12-12,Bank Transfer,1719.89
533,3597,2024-05-29,Bank Transfer,1355.83
534,4878,2024-12-21,PayPal,758.8
535,881,2024-10-23,Bank Transfer,1807.93
536,1301,2024-06-20,PayPal,837.2
537,582,2024-09-29,Bank Transfer,1433.5
538,4610,2024-07-25,Bank Transfer,1194.96
539,3803,2024-09-11,PayPal,358.74
540,3598,2024-10-21,Credit Card,60.14
541,70,2024-11-02,Bank Transfer,310.85
542,3016,2024-08-23,Bank Transfer,1288.45
543,1561,2024-11-07,PayPal,166.0
544,4584,2024-10-01,PayPal,714.71
545,456,2025-01-02,PayPal,423.74
546,1484,2024-12-21,Credit Card,1134.17
547,2013,2024-03-20,PayPal,171.09
548,165,2025-01-02,Credit Card,591.25
549,3338,2024-02-16,PayPal,1584.97
550,888,2025-01-16,Bank Transfer,1916.43
551,1292,2024-09-22,Bank Transfer,1137.49
552,2368,2024-11-08,Credit Card,1322.39
553,1732,2024-07-08,PayPal,996.27
554,4347,2024-10-11,Credit Card,787.46
555,1820,2024-03-21,Credit Card,1424.14
556,4296,2024-09-17,Bank Transfer,547.01
557,581,2024-12-01,Credit Card,923.0
558,1554,2024-07-15,Credit Card,1505.83
559,3970,2025-01-08,Credit Card,1245.84
560,831,2024-09-08,Bank Transfer,543.67
561,3760,2024-02-27,Bank Transfer,133.01
562,3812,2024-05-30,PayPal,1603.38
563,1918,2024-06-27,PayPal,447.97
564,865,2024-02-20,PayPal,1607.88
565,1174,2024-06-21,PayPal,703.17
566,1388,2024-04-12,PayPal,632.87
567,388,2024-03-14,Credit Card,105.41
568,3275,2024-03-05,Bank Transfer,1226.33
569,3626,2024-04-03,PayPal,598.27
570,14,2024-11-28,Bank Transfer,1384.3
571,451,2024-02-28,Credit Card,1037.0
572,1084,2025-01-01,PayPal,1266.84
573,3263,2024-05-03,PayPal,1492.46
574,585,2024-12-12,Bank Transfer,37.2
575,769,2024-07-21,Credit Card,1062.76
576,2775,2024-02-11,Credit Card,1625.33
577,336,2024-08-28,Credit Card,1009.26
578,170,2024-03-27,Credit Card,32.22
579,1227,2024-07-15,Credit Card,282.17
580,957,2024-12-10,Credit Card,1410.43
581,4585,2024-05-25,Credit Card,1750.46
582,343,2024-12-06,PayPal,209.68
583,293,2024-03-20,Credit Card,1846.95
584,628,2025-02-08,Bank Transfer,1819.16
585,3104,2024-11-02,Bank Transfer,407.94
586,2201,2025-01-19,Bank Transfer,1184.28
587,43,2024-09-12,PayPal,1833.47
588,3575,2024-12-03,Bank Transfer,1045.96
589,3907,2024-02-14,Credit Card,98.54
590,901,2024-05-17,PayPal,1235.47
591,651,2024-05-18,Credit Card,1587.13
592,3487,2024-11-25,Credit Card,1675.17
593,4577,2024-12-14,Credit Card,1492.5
594,2973,2024-12-18,Credit Card,1143.49
595,2108,2024-07-16,Credit Card,1825.97
596,4834,2024-12-31,PayPal,1023.6
597,3164,2024-02-25,Credit Card,876.62
598,1195,2025-01-14,Credit Card,144.57
599,3971,2024-09-06,Credit Card,1737.91
600,1278,2024-11-07,PayPal,521.31
601,2470,2024-03-09,Bank Transfer,793.14
602,2678,2024-11-03,Credit Card,1944.68
603,2257,2024-10-03,Bank Transfer,330.23
604,686,2024-08-21,Bank Transfer,1333.48
605,1163,2025-01-26,PayPal,1670.98
606,2158,2024-03-19,Bank Transfer,1059.25
607,2715,2024-05-18,Bank Transfer,943.88
608,2829,2024-02-23,Bank Transfer,1677.51
609,2693,2024-12-17,Credit Card,1966.1
610,1398,2024-12-05,PayPal,300.47
611,2064,2024-09-10,Bank Transfer,1539.35
612,3432,2024-12-31,Credit Card,505.31
613,3071,2024-05-10,Credit Card,469.75
614,3793,2024-05-25,Bank Transfer,654.28
